tanggal,tahun,bulan,week,nama_provinsi,nama_kota,nama_kecamatan,hospitalized,self_isolation,recovered,recovered_delta,total_deaths,total_deaths_delta,total_cases,total_cases_delta,recovery_rate,mortality_rate
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,89,0,3431,323,64,11,3584,354,0.13372047704419673,2.4943487411333699E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,90,0,4326,533,74,7,4490,486,0.14783173290503365,2.5287906229709872E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,66,0,2722,335,41,4,2829,321,0.13365412943140528,2.0131591868800943E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,101,0,4195,486,84,10,4380,488,0.16384158725199188,3.2807373847836274E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,63,0,2737,225,48,2,2848,256,0.15105690159501076,2.6491528230034771E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,68,0,2701,315,47,4,2816,299,0.16127298781944113,2.8063052304752806E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,158,0,4631,454,91,6,4880,485,0.14630524752788046,2.8749249676176033E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,72,0,3156,342,56,6,3284,328,0.12520331653905661,2.2216051096917524E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,75,0,2395,237,45,4,2515,214,0.14804054889355917,2.7815551984176042E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA SELATAN,TEBET,62,0,3509,319,80,5,3651,319,0.17247480953551242,3.9321700663553696E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,150,0,5609,585,92,7,5851,605,0.176689242400378,2.8980941880611122E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,109,0,4229,508,50,8,4388,487,0.15465350155421467,1.8284878405558603E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,83,0,3823,441,76,8,3982,421,0.13726123797213843,2.7287088898463306E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,133,0,5942,606,145,16,6220,595,0.20014820803018055,4.8841282673133925E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,94,0,4351,388,75,8,4520,408,0.21077362786416703,3.6331928498764716E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,110,0,4306,421,91,5,4507,398,0.1632173451595785,3.4493215070881661E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,119,0,3670,476,66,8,3855,403,0.18632279027263035,3.3507640757475757E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,102,0,2955,257,76,7,3133,275,0.15427586927012635,3.9678396157460582E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,99,0,3161,395,52,5,3312,339,0.17695795778984494,2.9110451771818843E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,119,0,4385,485,87,5,4591,469,0.17111527355030048,3.3949894638258017E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA UTARA,CILINCING,52,0,3944,263,81,4,4077,245,0.15122699386503066,3.1058282208588956E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,75,0,2624,318,48,3,2747,301,0.1274405050995629,2.3312287518212726E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA UTARA,KOJA,89,0,4242,276,81,3,4412,285,0.19270431108890201,3.6796438468177893E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,58,0,2269,196,46,5,2373,208,0.11822634431012922,2.3968320133388914E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,80,0,3283,293,62,1,3425,255,0.12673718344657195,2.3934527486102531E-3
2021-01-16,2021,January,3,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,111,0,5501,448,114,9,5726,428,0.13474916715657456,2.7924750146972369E-3
2021-01-16,2021,January,3,DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU SELATAN,1,0,91,15,1,0,93,16,3.8624787775891338E-2,4.2444821731748726E-4
2021-01-16,2021,January,3,DKI JAKARTA,KEPULAUAN SERIBU,KEP. SERIBU UTARA,0,0,130,36,0,0,130,27,5.9252506836827715E-2,0
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,133,525,6896,629,162,11,7716,1158,0.17563162184189079,4.1259168704156478E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,109,415,4038,423,83,2,4645,792,0.16643996537653025,3.4211285602407156E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA BARAT,KALI DERES,67,360,3800,407,87,3,4314,744,0.13229815827037567,3.0289315182954425E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,143,459,5507,707,108,5,6217,1178,0.1732087815311065,3.3968673334591431E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,88,501,4489,524,70,6,5148,1003,0.17420156001397027,2.7164422367961503E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA BARAT,PALMERAH,105,278,4179,361,105,8,4667,643,0.1518752725686873,3.815961622328827E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,42,182,2101,191,36,3,2361,354,0.17151020408163264,2.9387755102040815E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA BARAT,TAMBORA,69,195,2890,286,73,2,3227,456,0.1638600669048024,4.1390259114361854E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,52,213,2715,278,47,4,3027,506,0.14303777461672199,2.4761603708972129E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,49,139,2166,168,40,4,2394,315,0.16473988439306358,3.0422878004259203E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,30,189,2278,164,72,4,2569,345,0.15220150998864168,4.810583283223091E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,125,486,4918,562,108,6,5637,1047,0.16699490662139219,3.6672325976230898E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA PUSAT,MENTENG,28,165,1819,189,35,2,2047,348,0.1726297807725159,3.3216285470247697E-3
